Date,Open,High,Low,Close,Volume,Market_cap
2014-03-04,0.005936,0.006738,0.005759,0.006059,6794,217713
2014-03-03,0.005282,0.006186,0.004370,0.005934,8731,193180
2014-03-02,0.006055,0.006435,0.005249,0.005280,4069,220806
2014-03-01,0.006904,0.006969,0.005816,0.005999,6566,251099
2014-02-28,0.007588,0.007620,0.006790,0.006796,4304,275103
2014-02-27,0.007529,0.008361,0.007169,0.007604,3739,272208
2014-02-26,0.007234,0.007844,0.006698,0.007533,6843,260838
2014-02-25,0.009026,0.009440,0.006735,0.007547,15289,324527
2014-02-24,0.009848,0.010050,0.009026,0.009031,6786,352971
2014-02-23,0.009867,0.010322,0.009837,0.009848,11895,352514
2014-02-22,0.009874,0.010450,0.009537,0.009864,6836,351496
2014-02-21,0.010524,0.012148,0.008784,0.009878,12822,373348
2014-02-20,0.010526,0.013092,0.010127,0.011177,38957,371941
2014-02-19,0.011765,0.011770,0.010387,0.010510,15415,414126
2014-02-18,0.009571,0.013034,0.009014,0.012082,51046,335644
2014-02-17,0.009541,0.009861,0.009164,0.009571,6217,334174
2014-02-16,0.009731,0.010355,0.009623,0.009984,11389,338586
2014-02-15,0.008127,0.010115,0.007477,0.009740,10563,281720
2014-02-14,0.008218,0.008525,0.006894,0.008133,8827,283811
2014-02-13,0.008948,0.009531,0.007994,0.008213,6216,307769
2014-02-12,0.009410,0.010302,0.008957,0.008959,410,322402
2014-02-11,0.010433,0.011155,0.009159,0.009949,778,356027
2014-02-10,0.010854,0.011609,0.008406,0.010537,1672,368864
2014-02-09,0.010082,0.010951,0.009879,0.010787,619,341292
2014-02-08,0.011323,0.011864,0.009949,0.010119,448,381714
2014-02-07,0.012682,0.012682,0.011169,0.011481,1126,425863
2014-02-06,0.013020,0.013557,0.012655,0.012741,1086,435447
2014-02-05,0.013196,0.013833,0.012936,0.012995,599,439488
2014-02-04,0.014096,0.014291,0.013155,0.013188,1321,467587
2014-02-03,0.014121,0.014600,0.013756,0.014136,919,466557
2014-02-02,0.014386,0.014622,0.013975,0.014124,508,473405
2014-02-01,0.014249,0.015157,0.014027,0.014353,1721,467015
2014-01-31,0.013996,0.014640,0.013931,0.014209,1148,456803
2014-01-30,0.013608,0.014346,0.013016,0.013946,243,442311
2014-01-29,0.012767,0.014724,0.012750,0.013536,350,413208
2014-01-28,0.012979,0.015636,0.012316,0.013178,874,418259
2014-01-27,0.014550,0.018878,0.012636,0.015866,1933,466865
2014-01-26,0.013437,0.021022,0.013373,0.014533,3555,429288
2014-01-25,0.016390,0.021109,0.011932,0.013318,2275,521368
2014-01-24,0.012700,0.022233,0.012700,0.016389,7370,403209
